City,Lat,Long,country,iso2,State
Adilabad,19.37,78.3,India,IN,Telangana
Alampur,15.54,78.11,India,IN,Telangana
Armoor,18.48,78.16,India,IN,Telangana
Balkonda,19.05,78.2,India,IN,Telangana
Bhadrachalam,17.4,80.56,India,IN,Telangana
Bhainsa,19.1,77.58,India,IN,Telangana
Bodhan,18.39,77.5,India,IN,Telangana
Devarakonda,16.42,78.58,India,IN,Telangana
Gadwal,16.13,77.48,India,IN,Telangana
Golconda,17.23,78.27,India,IN,Telangana
Hanamkonda,18.1,79.46,India,IN,Telangana
Hyderabad,17.2,78.3,India,IN,Telangana
Jagityal,18.48,79.09,India,IN,Telangana
Kamareddy,18.18,78.22,India,IN,Telangana
Kandi,17.36,78.05,India,IN,Telangana
Karimnagar,18.28,79.06,India,IN,Telangana
Khammam,17.15,80.11,India,IN,Telangana
Kodangal,17.08,77.36,India,IN,Telangana
Kohir,17.35,77.4,India,IN,Telangana
Koilkonda,16.45,77.5,India,IN,Telangana
Koratla,18.43,78.41,India,IN,Telangana
Kosgi,17,77.43,India,IN,Telangana
Kothagudem,17.3,80.4,India,IN,Telangana
Mahabubnagar,16.42,77.58,India,IN,Telangana
Medak,18.03,78.18,India,IN,Telangana
Nagar Kurnool,16.3,78.19,India,IN,Telangana
Nalgonda,17.03,79.02,India,IN,Telangana
Nallamala Range,15,78.38,India,IN,Telangana
Narayanpet,16.46,77.27,India,IN,Telangana
Nirmal,19.06,78.25,India,IN,Telangana
Nizamabad,18.4,78.1,India,IN,Telangana
Patancheru,17.36,78.2,India,IN,Telangana
Rekhapalle,17.34,81.2,India,IN,Telangana
Sadasivpet,17.4,77.58,India,IN,Telangana
Secunderabad,17.27,78.33,India,IN,Telangana
Siddipet,18.07,78.5,India,IN,Telangana
Tandur,17.17,77.3,India,IN,Telangana
Vemalawada,18.3,78.56,India,IN,Telangana
Venkatapuram,18.17,80.36,India,IN,Telangana
Warangal,17.58,79.4,India,IN,Telangana
Yellandu,17.37,80.23,India,IN,Telangana
